,sub,set,split,modality,prompt,opt1,opt2
0,7,1,2,v,h10,h5,h7
1,7,1,2,a,h8,h1,h4
2,7,1,2,a,i10,i5,i6
3,7,1,2,v,h4,h2,h7
4,7,1,2,a,h9,h2,h4
5,7,1,2,v,a9,a6,a9
6,7,1,2,v,i5,i3,i5
7,7,1,2,v,a2,a5,a6
8,7,1,2,v,h9,h1,h2
9,7,1,2,v,i6,i2,i5
10,7,1,2,a,a4,a10,a8
11,7,1,2,a,h5,h1,h9
12,7,1,2,v,i3,i4,i7
13,7,1,2,v,i1,i2,i7
14,7,1,2,a,i4,i6,i8
15,7,1,2,v,a6,a3,a6
16,7,1,2,a,h1,h2,h7
17,7,1,2,a,a3,a2,a5
18,7,1,2,v,a3,a7,a9
19,7,1,2,a,i9,i1,i8
20,7,1,2,a,a1,a6,a7
21,7,1,2,v,h3,h1,h6
22,7,1,2,v,i9,i1,i2
23,7,1,2,a,a1,a1,a2
24,7,1,2,v,a10,a3,a9
25,7,1,2,v,h1,h4,h6
26,7,1,2,v,i2,i10,i7
27,7,1,2,v,i6,i6,i9
28,7,1,2,v,a4,a1,a5
29,7,1,2,v,i9,i1,i6
30,7,1,2,a,h6,h4,h9
31,7,1,2,a,i7,i6,i9
32,7,1,2,v,h1,h3,h6
33,7,1,2,a,i3,i6,i8
34,7,1,2,a,i4,i5,i6
35,7,1,2,a,a3,a1,a10
36,7,1,2,v,i2,i5,i8
37,7,1,2,a,h3,h10,h8
38,7,1,2,a,h2,h4,h6
39,7,1,2,a,h10,h2,h8
40,7,1,2,v,h6,h4,h8
41,7,1,2,a,h10,h5,h7
42,7,1,2,a,i2,i8,i9
43,7,1,2,a,i3,i10,i2
44,7,1,2,a,a1,a2,a3
45,7,1,2,a,a2,a1,a5
46,7,1,2,a,a9,a3,a4
47,7,1,2,a,a2,a1,a4
48,7,1,2,a,a2,a1,a8
49,7,1,2,a,i3,i7,i9
50,7,1,2,v,i10,i1,i9
51,7,1,2,v,a8,a4,a5
52,7,1,2,a,h5,h6,h9
53,7,1,2,v,i5,i3,i8
54,7,1,2,v,a1,a2,a8
55,7,1,2,a,a6,a4,a9
56,7,1,2,v,i9,i3,i4
57,7,1,2,a,i7,i10,i3
58,7,1,2,v,h10,h3,h9
59,7,1,2,v,a4,a1,a9
60,7,1,2,v,i4,i10,i9
61,7,1,2,v,h8,h7,h9
62,7,1,2,a,h5,h4,h7
63,7,1,2,a,a4,a10,a9
64,7,1,2,a,h6,h2,h4
65,7,1,2,a,h2,h4,h9
66,7,1,2,a,a2,a10,a6
67,7,1,2,v,i7,i1,i2
68,7,1,2,v,i8,i1,i9
69,7,1,2,a,i3,i6,i9
70,7,1,2,v,a1,a3,a6
71,7,1,2,v,a10,a4,a8
72,7,1,2,v,h4,h5,h9
73,7,1,2,a,h7,h10,h8
74,7,1,2,v,a3,a10,a5
75,7,1,2,a,i8,i3,i9
76,7,1,2,v,a9,a4,a6
77,7,1,2,a,i7,i2,i8
78,7,1,2,v,a4,a2,a9
79,7,1,2,a,a2,a5,a7
80,7,1,2,v,i8,i5,i7
81,7,1,2,v,h8,h2,h7
82,7,1,2,a,h1,h3,h7
83,7,1,2,v,i4,i10,i8
84,7,1,2,a,a4,a8,a9
85,7,1,2,v,i2,i7,i9
86,7,1,2,v,h3,h10,h5
87,7,1,2,a,h6,h10,h9
88,7,1,2,v,i10,i1,i8
89,7,1,2,a,i1,i3,i9
90,7,1,2,a,h9,h10,h6
91,7,1,2,a,h1,h10,h6
92,7,1,2,a,i9,i7,i8
93,7,1,2,v,a1,a10,a2
94,7,1,2,a,a6,a1,a10
95,7,1,2,v,i8,i3,i7
96,7,1,2,v,h6,h1,h2
97,7,1,2,a,i6,i3,i9
98,7,1,2,a,a9,a10,a8
99,7,1,2,a,h3,h10,h7
100,7,1,2,a,a5,a1,a3
101,7,1,2,v,i7,i10,i6
102,7,1,2,a,h1,h10,h3
103,7,1,2,v,h5,h7,h9
104,7,1,2,a,a7,a4,a8
105,7,1,2,a,a10,a5,a7
106,7,1,2,a,i1,i2,i7
107,7,1,2,v,h8,h3,h4
108,7,1,2,a,i8,i10,i9
109,7,1,2,v,i2,i3,i8
110,7,1,2,v,h7,h3,h9
111,7,1,2,v,a6,a2,a7
112,7,1,2,v,a7,a3,a6
113,7,1,2,a,a4,a3,a6
114,7,1,2,a,i7,i3,i4
115,7,1,2,a,a2,a5,a8
116,7,1,2,v,h6,h10,h4
117,7,1,2,a,h5,h1,h4
118,7,1,2,v,i3,i6,i7
119,7,1,2,a,h2,h10,h4
120,7,1,2,v,i10,i3,i7
121,7,1,2,a,a8,a3,a4
122,7,1,2,v,i3,i1,i8
123,7,1,2,v,a10,a2,a4
124,7,1,2,a,a8,a1,a2
125,7,1,2,v,i3,i2,i4
126,7,1,2,a,a10,a3,a4
127,7,1,2,a,h10,h5,h6
128,7,1,2,v,a10,a1,a9
129,7,1,2,a,h8,h2,h6
130,7,1,2,a,a5,a1,a10
131,7,1,2,a,i6,i4,i8
132,7,1,2,v,h7,h5,h8
133,7,1,2,v,a3,a1,a8
134,7,1,2,a,a5,a2,a8
135,7,1,2,v,i1,i10,i9
136,7,1,2,v,i4,i1,i6
137,7,1,2,a,a1,a4,a9
138,7,1,2,v,i10,i4,i6
139,7,1,2,a,i10,i1,i5
140,7,1,2,a,h2,h4,h7
141,7,1,2,a,h1,h3,h6
142,7,1,2,a,i5,i3,i8
143,7,1,2,a,i7,i1,i9
144,7,1,2,v,i8,i4,i5
145,7,1,2,v,a2,a6,a8
146,7,1,2,a,h10,h3,h9
147,7,1,2,a,h5,h1,h3
148,7,1,2,v,a9,a1,a7
149,7,1,2,v,a8,a10,a2
150,7,1,2,a,i4,i1,i8
151,7,1,2,a,h9,h5,h7
152,7,1,2,a,h4,h5,h7
153,7,1,2,a,i6,i2,i5
154,7,1,2,a,i8,i3,i4
155,7,1,2,v,a7,a10,a2
156,7,1,2,a,h10,h6,h9
157,7,1,2,v,h4,h1,h9
158,7,1,2,a,h7,h1,h8
159,7,1,2,a,h8,h10,h2
160,7,1,2,a,i4,i7,i9
161,7,1,2,v,i7,i1,i10
162,7,1,2,v,a9,a1,a8
163,7,1,2,a,h6,h10,h3
164,7,1,2,a,i1,i6,i7
165,7,1,2,v,a5,a1,a8
166,7,1,2,v,a1,a8,a9
167,7,1,2,v,a4,a6,a9
168,7,1,2,a,h4,h3,h7
169,7,1,2,v,h1,h4,h5
170,7,1,2,v,a4,a7,a8
171,7,1,2,v,h1,h2,h3
172,7,1,2,v,i6,i3,i9
173,7,1,2,a,a7,a5,a8
174,7,1,2,a,a5,a2,a3
175,7,1,2,v,i9,i3,i6
176,7,1,2,v,i8,i6,i9
177,7,1,2,a,h3,h5,h6
178,7,1,2,v,h9,h3,h5
179,7,1,2,a,h4,h10,h9
180,7,1,2,a,a3,a4,a5
181,7,1,2,v,a7,a1,a4
182,7,1,2,a,h4,h6,h8
183,7,1,2,v,i1,i5,i9
184,7,1,2,v,i7,i3,i8
185,7,1,2,a,h1,h3,h8
186,7,1,2,v,a1,a4,a7
187,7,1,2,v,a2,a10,a7
188,7,1,2,a,h5,h4,h5
189,7,1,2,a,i7,i8,i9
190,7,1,2,v,i5,i4,i8
191,7,1,2,a,h10,h6,h7
