,sub,set,split,modality,prompt,opt1,opt2
0,9,2,0,a,i2,i3,i6
1,9,2,0,v,a10,a3,a7
2,9,2,0,v,a7,a10,a2
3,9,2,0,v,t3,t1,t7
4,9,2,0,v,a5,a4,a6
5,9,2,0,a,i2,i3,i9
6,9,2,0,a,t8,t1,t4
7,9,2,0,a,t10,t6,t9
8,9,2,0,a,i1,i6,i9
9,9,2,0,v,i3,i6,i8
10,9,2,0,a,t1,t3,t7
11,9,2,0,v,i10,i1,i8
12,9,2,0,a,i3,i5,i7
13,9,2,0,a,a9,a1,a2
14,9,2,0,v,t3,t5,t6
15,9,2,0,a,a2,a10,a7
16,9,2,0,v,i1,i3,i4
17,9,2,0,v,i10,i5,i6
18,9,2,0,v,i2,i7,i8
19,9,2,0,a,t10,t3,t6
20,9,2,0,a,a4,a3,a7
21,9,2,0,v,i9,i5,i8
22,9,2,0,v,t9,t7,t8
23,9,2,0,v,t7,t2,t3
24,9,2,0,a,t10,t1,t7
25,9,2,0,v,i6,i10,i9
26,9,2,0,a,a5,a6,a8
27,9,2,0,v,t10,t1,t7
28,9,2,0,a,t10,t1,t2
29,9,2,0,v,a2,a1,a5
30,9,2,0,v,i5,i1,i2
31,9,2,0,a,a6,a10,a8
32,9,2,0,a,t10,t7,t9
33,9,2,0,v,t3,t7,t9
34,9,2,0,a,i10,i2,i5
35,9,2,0,a,a5,a4,a8
36,9,2,0,a,t5,t6,t8
37,9,2,0,v,a5,a2,a4
38,9,2,0,a,a9,a10,a3
39,9,2,0,a,a5,a2,a8
40,9,2,0,v,t5,t2,t3
41,9,2,0,a,i8,i3,i9
42,9,2,0,v,a7,a1,a2
43,9,2,0,v,a1,a10,a4
44,9,2,0,a,t5,t3,t6
45,9,2,0,a,a9,a6,a7
46,9,2,0,v,t7,t1,t9
47,9,2,0,a,i4,i10,i9
48,9,2,0,a,t4,t8,t9
49,9,2,0,v,i9,i1,i3
50,9,2,0,a,a6,a3,a8
51,9,2,0,a,t2,t1,t10
52,9,2,0,v,i5,i10,i8
53,9,2,0,a,a2,a1,a9
54,9,2,0,a,i1,i10,i9
55,9,2,0,a,a1,a7,a8
56,9,2,0,v,t4,t10,t6
57,9,2,0,v,i8,i5,i6
58,9,2,0,v,a9,a3,a7
