,sub,set,split,modality,prompt,opt1,opt2
0,42,8,1,a,h10,h2,h5
1,42,8,1,v,h3,h10,h8
2,42,8,1,v,a9,a2,a8
3,42,8,1,a,h5,h1,h7
4,42,8,1,v,h4,h6,h9
5,42,8,1,a,h5,h6,h9
6,42,8,1,a,a6,a5,a9
7,42,8,1,v,h2,h2,h7
8,42,8,1,a,i8,i2,i7
9,42,8,1,a,i6,i5,i9
10,42,8,1,v,h2,h1,h9
11,42,8,1,a,i5,i2,i7
12,42,8,1,v,i5,i10,i7
13,42,8,1,a,i10,i5,i9
14,42,8,1,v,i9,i2,i6
15,42,8,1,a,h7,h10,h9
16,42,8,1,v,a5,a1,a8
17,42,8,1,v,a3,a4,a7
18,42,8,1,a,i4,i2,i7
19,42,8,1,v,a5,a4,a8
20,42,8,1,v,a4,a1,a3
21,42,8,1,v,a6,a10,a9
22,42,8,1,a,a1,a5,a6
23,42,8,1,a,i1,i3,i8
24,42,8,1,v,a7,a5,a9
25,42,8,1,a,h1,h3,h6
26,42,8,1,a,i5,i2,i3
27,42,8,1,v,i8,i10,i9
28,42,8,1,v,i5,i4,i9
29,42,8,1,a,a5,a10,a2
30,42,8,1,v,i9,i4,i6
31,42,8,1,a,h9,h10,h5
32,42,8,1,a,h1,h3,h9
33,42,8,1,a,h10,h2,h6
34,42,8,1,v,h1,h5,h8
35,42,8,1,v,h3,h5,h8
36,42,8,1,a,a5,a7,a8
37,42,8,1,a,i7,i2,i3
38,42,8,1,v,i3,i2,i5
39,42,8,1,a,i2,i8,i9
40,42,8,1,v,a8,a4,a7
41,42,8,1,a,h2,h1,h4
42,42,8,1,a,i2,i10,i6
43,42,8,1,a,a2,a4,a7
44,42,8,1,v,h4,h2,h9
45,42,8,1,a,a5,a1,a3
46,42,8,1,a,a8,a10,a3
47,42,8,1,v,h5,h2,h8
48,42,8,1,v,a8,a10,a3
49,42,8,1,a,i4,i3,i5
50,42,8,1,a,i6,i8,i9
51,42,8,1,v,a1,a4,a6
52,42,8,1,v,h4,h3,h6
53,42,8,1,v,a10,a1,a8
