,sub,set,split,modality,prompt,opt1,opt2
0,7,1,1,v,i6,i5,i9
1,7,1,1,v,a3,a10,a2
2,7,1,1,v,h7,h1,h4
3,7,1,1,v,h9,h5,h7
4,7,1,1,v,a1,a10,a2
5,7,1,1,a,i3,i1,i4
6,7,1,1,a,h10,h1,h4
7,7,1,1,v,i1,i4,i7
8,7,1,1,v,i2,i5,i7
9,7,1,1,a,i10,i1,i3
10,7,1,1,a,h6,h1,h7
11,7,1,1,a,a9,a1,a10
12,7,1,1,a,h6,h3,h5
13,7,1,1,v,i8,i10,i2
14,7,1,1,v,h7,h1,h2
15,7,1,1,v,i4,i6,i7
16,7,1,1,a,i1,i3,i9
17,7,1,1,v,a7,a10,a8
18,7,1,1,v,i8,i1,i7
19,7,1,1,a,h9,h2,h6
20,7,1,1,v,a3,a4,a7
21,7,1,1,v,a1,a3,a6
22,7,1,1,a,a2,a3,a6
23,7,1,1,a,a4,a1,a8
24,7,1,1,a,a4,a2,a6
25,7,1,1,a,a8,a3,a5
26,7,1,1,v,i10,i4,i5
27,7,1,1,a,i4,i10,i2
28,7,1,1,v,i7,i4,i8
29,7,1,1,v,h2,h10,h5
30,7,1,1,v,h10,h4,h8
31,7,1,1,v,a9,a4,a8
32,7,1,1,a,i9,i1,i8
33,7,1,1,v,i1,i3,i7
34,7,1,1,a,a6,a7,a8
35,7,1,1,a,i10,i3,i8
36,7,1,1,a,i9,i2,i8
37,7,1,1,v,a4,a10,a2
38,7,1,1,v,a4,a1,a3
39,7,1,1,v,i2,i1,i10
40,7,1,1,a,h10,h3,h8
41,7,1,1,v,a6,a2,a4
42,7,1,1,v,a3,a7,a9
43,7,1,1,v,h7,h2,h5
44,7,1,1,v,a8,a10,a6
45,7,1,1,v,a2,a1,a10
46,7,1,1,v,a6,a4,a7
47,7,1,1,v,i10,i5,i8
48,7,1,1,v,i3,i10,i8
49,7,1,1,a,i8,i2,i6
50,7,1,1,v,a7,a3,a6
51,7,1,1,v,a2,a3,a6
52,7,1,1,a,h6,h7,h9
53,7,1,1,v,h9,h2,h7
54,7,1,1,v,i1,i2,i3
55,7,1,1,v,i9,i10,i2
56,7,1,1,v,a8,a2,a4
57,7,1,1,v,a6,a10,a7
58,7,1,1,a,a4,a1,a3
