,sub,set,split,modality,prompt,opt1,opt2
0,9,1,0,v,h7,h1,h9
1,9,1,0,a,h4,h1,h5
2,9,1,0,v,h10,h1,h2
3,9,1,0,v,h8,h10,h5
4,9,1,0,a,a7,a2,a6
5,9,1,0,a,a10,a6,a8
6,9,1,0,v,a10,a1,a3
7,9,1,0,v,h1,h2,h6
8,9,1,0,v,h9,h4,h6
9,9,1,0,v,i10,i1,i8
10,9,1,0,a,i1,i2,i7
11,9,1,0,v,a9,a10,a7
12,9,1,0,a,i10,i5,i6
13,9,1,0,a,i3,i7,i9
14,9,1,0,a,h7,h5,h9
15,9,1,0,v,a3,a1,a7
16,9,1,0,a,a8,a2,a7
17,9,1,0,v,h10,h6,h7
18,9,1,0,a,h5,h1,h3
19,9,1,0,a,h8,h10,h9
20,9,1,0,a,a10,a10,a8
21,9,1,0,v,a7,a5,a8
22,9,1,0,v,a6,a5,a8
23,9,1,0,v,a7,a2,a8
24,9,1,0,a,a5,a3,a7
25,9,1,0,a,h8,h4,h5
26,9,1,0,v,i4,i2,i4
27,9,1,0,v,a1,a3,a7
28,9,1,0,v,a5,a2,a6
29,9,1,0,a,i7,i10,i6
30,9,1,0,v,i8,i4,i5
31,9,1,0,v,h7,h3,h4
32,9,1,0,a,i8,i2,i5
33,9,1,0,a,h3,h2,h8
34,9,1,0,a,i4,i10,i7
35,9,1,0,v,h10,h4,h5
36,9,1,0,v,i5,i6,i8
37,9,1,0,a,a7,a4,a5
38,9,1,0,v,h3,h6,h7
39,9,1,0,v,a6,a4,a8
40,9,1,0,a,h4,h5,h8
41,9,1,0,v,h6,h10,h3
42,9,1,0,a,h3,h10,h4
43,9,1,0,v,i7,i10,i4
44,9,1,0,v,a10,a10,a8
45,9,1,0,a,a6,a10,a5
46,9,1,0,a,a9,a10,a4
47,9,1,0,v,h7,h1,h4
48,9,1,0,a,h1,h4,h7
49,9,1,0,v,i10,i5,i9
50,9,1,0,a,i8,i4,i5
51,9,1,0,a,a1,a2,a4
52,9,1,0,v,i9,i4,i6
53,9,1,0,v,h2,h2,h5
54,9,1,0,a,h4,h3,h5
55,9,1,0,v,h4,h2,h3
56,9,1,0,v,i8,i1,i6
57,9,1,0,a,a2,a3,a6
58,9,1,0,v,a9,a10,a6
59,9,1,0,v,h5,h3,h8
60,9,1,0,v,a1,a5,a6
61,9,1,0,a,h8,h5,h6
62,9,1,0,v,i7,i10,i8
63,9,1,0,v,a7,a10,a2
64,9,1,0,v,i1,i10,i7
65,9,1,0,v,h2,h1,h5
66,9,1,0,a,i5,i4,i8
67,9,1,0,v,a6,a10,a5
68,9,1,0,a,i9,i3,i8
69,9,1,0,v,i3,i4,i5
70,9,1,0,v,a8,a2,a4
71,9,1,0,a,a2,a10,a5
72,9,1,0,v,h4,h10,h7
73,9,1,0,a,i1,i6,i9
