,sub,set,split,modality,prompt,opt1,opt2
0,10,1,4,a,a8,a4,a7
1,10,1,4,a,h9,h10,h4
2,10,1,4,a,h10,h1,h3
3,10,1,4,v,a1,a4,a9
4,10,1,4,v,i7,i4,i6
5,10,1,4,a,i9,i3,i6
6,10,1,4,v,a2,a3,a9
7,10,1,4,a,a4,a2,a5
8,10,1,4,a,h8,h10,h5
9,10,1,4,v,a2,a4,a9
10,10,1,4,v,h5,h10,h3
11,10,1,4,a,a5,a6,a7
12,10,1,4,a,a2,a5,a7
13,10,1,4,a,i7,i2,i6
14,10,1,4,a,a7,a3,a8
15,10,1,4,a,a8,a4,a9
16,10,1,4,a,h1,h10,h9
17,10,1,4,v,a2,a1,a5
18,10,1,4,v,i4,i7,i9
19,10,1,4,v,a7,a1,a4
20,10,1,4,v,a9,a10,a3
21,10,1,4,a,a9,a2,a4
22,10,1,4,v,i2,i10,i9
23,10,1,4,v,i3,i2,i5
24,10,1,4,a,a3,a2,a4
25,10,1,4,a,h7,h2,h8
26,10,1,4,v,i10,i3,i4
27,10,1,4,a,a6,a1,a5
28,10,1,4,v,h10,h6,h9
29,10,1,4,v,h3,h10,h8
30,10,1,4,a,i6,i2,i8
31,10,1,4,a,i7,i3,i9
32,10,1,4,v,i10,i3,i5
33,10,1,4,a,i4,i2,i9
34,10,1,4,v,i9,i2,i7
35,10,1,4,a,a2,a10,a8
36,10,1,4,v,i2,i1,i4
37,10,1,4,v,h10,h5,h9
38,10,1,4,v,h2,h10,h4
39,10,1,4,a,h5,h4,h7
40,10,1,4,v,i3,i1,i8
41,10,1,4,v,h10,h3,h9
42,10,1,4,a,a2,a7,a9
43,10,1,4,a,h10,h2,h4
44,10,1,4,v,i8,i3,i9
45,10,1,4,a,i8,i4,i9
46,10,1,4,a,i7,i3,i8
47,10,1,4,v,a6,a1,a5
48,10,1,4,v,h4,h1,h7
49,10,1,4,v,i3,i10,i2
50,10,1,4,v,h6,h7,h8
51,10,1,4,v,h5,h10,h8
52,10,1,4,a,i7,i5,i9
53,10,1,4,a,h10,h7,h9
54,10,1,4,v,h6,h10,h5
55,10,1,4,v,a2,a1,a9
56,10,1,4,a,i1,i5,i7
57,10,1,4,a,a5,a10,a6
58,10,1,4,a,h4,h2,h9
59,10,1,4,v,a6,a6,a8
60,10,1,4,a,h9,h7,h8
61,10,1,4,a,a6,a10,a4
62,10,1,4,v,a7,a6,a8
